id,title,category,file,priceIncluded,minutes,promise
full-vault,Full Workshop Vault Bundle,All-In-One,00-gta-money-team-full-workshop-vault.zip,$25/mo Workshop,180,One ZIP containing the current complete GTA Money Team workshop download vault.
start-here,Start Here: GTA Money Team Workshop Playbook,Orientation,gmt-start-here-workshop-playbook.zip,$25/mo Workshop,25,"The buyer roadmap: what to download first, how to stay legal, and how to turn templates into offers."
fivem-starter-template,FiveM Starter Server Template Pack,Server Templates,gta-money-team-fivem-template-pack.zip,$25/mo Workshop,60,"A clean starter server foundation with server.cfg, Lua resources, docs, and setup notes."
premium-city-vault,Premium City Pack Vault,City Packs,gta-money-team-premium-city-pack-vault.zip,$25/mo Workshop,90,"Original RP city identities with districts, factions, weather, police placeholder fleets, and payout models."
regional-city-vault,Regional City Pack Vault,City Packs,gta-money-team-regional-city-pack-vault.zip,$25/mo Workshop,90,"Portland, Oakland, Riverside, Utah, St. Louis, Kansas City, Memphis, Charlotte, Philly, New Jersey, and DC city packs."
deep-money-scan,Top Server Money Pattern Scan,Market Research,gta-money-team-deep-server-money-scan.zip,$25/mo Workshop,45,Public monetization signals converted into original sellable template ideas and app cards.
template-commerce-kit,Template Commerce Kit,App Monetization,gta-money-team-template-commerce-kit.zip,$25/mo Workshop,75,A product catalog and app marketplace surface for selling packs without public back-and-forth.
faceless-channel-kit,Faceless Channel Promo Kit,Marketing,gta-money-team-faceless-channel-promo-kit.zip,$25/mo Workshop,40,"Argil/short-form scripts, hooks, captions, and a content calendar for faceless promotion."
discord-community,Discord Community Launch Template,Community,gmt-discord-community-launch-template.zip,$25/mo Workshop,35,"A no-touch community setup map with channels, roles, tickets, applications, and moderation SOPs."
tebex-blueprint,Tebex Store Blueprint Pack,Monetization,gmt-tebex-store-blueprint-pack.zip,$25/mo Workshop,35,"Legal-safe store categories, package copy, delivery model, and buyer entitlement checklist."
security-sop,Security + Anti-Abuse SOP Pack,Security,gmt-security-anti-abuse-sop-pack.zip,$25/mo Workshop,45,"Security checklists for server owners, Discord admins, and template sellers."
calculator-dashboard,Workshop Revenue Calculator Dashboard,Calculators,gmt-workshop-revenue-calculators.zip,$25/mo Workshop,30,"Simple CSV/spreadsheet-style calculators for MRR, churn, template sales, and upsells."
